,Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
2852,18577913.0,15,5/5/2017,Superhost,1,Isolotto Legnaia,3,2,Entire home,4,90.0,86,4.99,4.98,4.99,4.98,4.99,4.86,4.93,1.09,Firenze,Early Winter,2,private,"43.77088, 11.23831",12/15/2024
104517,50765990.0,8,7/1/2021,Superhost,1,BUENOS AIRES - VENEZIA,1,1,Entire home,2,163.0,29,4.86,4.83,4.9,4.86,4.86,4.72,4.72,0.76,Milano,Early Autumn,1,private,"45.47875, 9.20483",9/15/2024
217772,8.72e+17,12,7/5/2021,Host,3,XII Monte Verde,2,1,Entire home,4,110.0,14,4.79,4.86,4.86,5.0,5.0,4.57,4.86,1.01,Roma,Early Summer,1,private,"41.87915, 12.44402",6/15/2024
258807,6.02e+17,7,6/15/2020,Host,45,Cannaregio,3,2,Private room,4,69.0,25,4.15,4.35,4.23,4.65,4.19,4.92,4.27,1.36,Venezia,Early Winter,2,private,"45.44445, 12.32976",12/15/2024
92782,9.54e+17,4,11/14/2013,Host,113,PORTA ROMANA,2,1,Entire home,4,100.0,4,4.25,4.5,4.25,5.0,4.5,4.75,4.25,0.4,Milano,Early Summer,1,private,"45.4552775, 9.2046923",6/15/2024
42263,4605757.0,0,11/17/2014,Host,1,QUARTO OGGIARO,2,1,Private room,3,140.0,41,4.41,4.76,4.63,4.73,4.88,4.29,4.44,0.39,Milano,Early Winter,1,private,"45.51778, 9.12843",12/15/2024
110323,9.08e+17,3,4/1/2014,Superhost,55,SARPI,1,1,Entire home,2,204.0,11,5.0,5.0,5.0,5.0,4.91,4.91,5.0,0.73,Milano,Early Autumn,1,private,"45.4850737, 9.1608883",9/15/2024
133866,26189445.0,5,6/20/2018,Host,1,San Ferdinando,2,1,Private room,4,68.0,10,4.2,3.9,4.1,4.6,4.2,4.4,3.9,0.71,Napoli,Early Summer,1,private,"40.83682, 14.24482",6/15/2024
87732,6.4e+17,1,4/4/2015,Host,23,STADERA,2,1,Entire home,2,90.0,3,5.0,5.0,5.0,4.67,5.0,4.0,4.67,0.13,Milano,Early Summer,1,private,"45.43485, 9.17675",6/15/2024
234702,32626244.0,6,2/25/2019,Superhost,2,XIII Aurelia,1,1,Entire home,2,80.0,20,4.95,4.95,4.9,4.95,5.0,4.9,4.95,0.31,Roma,Early Autumn,1,private,"41.89961, 12.45118",9/15/2024
271965,50652574.0,0,6/26/2021,Host,5,Santa Croce,1,1,Private room,2,181.0,5,5.0,5.0,5.0,5.0,4.6,5.0,4.6,0.19,Venezia,Early Summer,1,private,"45.4388, 12.33079",6/15/2024
247945,1.04e+18,19,1/11/2015,Host,10,I Centro Storico,1,1,Private room,2,194.0,19,4.79,4.84,4.58,4.89,5.0,5.0,4.63,2.04,Roma,Early Autumn,1,private,"41.90379, 12.48437",9/15/2024
191297,7.81e+17,13,11/4/2017,Host,8,VII San Giovanni/Cinecittà,2,2,Entire home,4,151.0,19,4.84,4.95,4.79,4.95,4.95,4.74,4.79,1.3,Roma,Early Spring,1,private,"41.88115, 12.50075",3/15/2024
107622,7.47e+17,83,9/25/2023,Host,8,BRERA,2,1,Entire home,4,86.0,157,4.76,4.78,4.7,4.89,4.94,4.89,4.65,6.96,Milano,Early Autumn,1,private,"45.47976788310632, 9.182581015344237",9/15/2024
208862,37619786.0,30,3/11/2011,Superhost,7,VII San Giovanni/Cinecittà,3,2,Entire home,6,107.0,57,4.96,4.95,4.98,4.93,4.95,4.55,4.88,1.66,Roma,Early Summer,2,private,"41.8627815246582, 12.543192863464355",6/15/2024
11033,33088130.0,39,11/30/2014,Host,38,Centro Storico,3,2,Entire home,6,200.0,153,4.8,4.9,4.81,4.88,4.97,4.97,4.8,2.53,Firenze,Early Spring,1,private,"43.77000045776367, 11.252108573913574",3/15/2024
258058,49929476.0,27,5/20/2021,Superhost,9,San Polo,2,1,Entire home,4,143.0,65,4.91,4.94,4.97,4.86,4.85,4.89,4.73,2.13,Venezia,Early Winter,1,private,"45.438465, 12.324704",12/15/2024
77216,8.8e+17,23,2/28/2023,Host,4,CITTA' STUDI,2,1,Entire home,4,109.0,23,4.87,4.78,4.74,4.78,4.87,4.65,4.78,2.13,Milano,Early Spring,1,private,"45.4708496, 9.2281263",3/15/2024
64519,42582780.0,11,5/27/2014,Superhost,5,SARPI,3,2,Entire home,6,214.0,34,4.91,4.71,4.88,4.97,4.94,4.91,4.74,1.22,Milano,Early Spring,3,private,"45.477734, 9.178063",3/15/2024
108452,8.19e+17,12,6/24/2022,Host,140,LORETO,2,1,Entire home,4,136.0,34,4.79,4.79,4.82,4.88,4.76,4.88,4.74,1.76,Milano,Early Autumn,1,private,"45.4950005, 9.217919",9/15/2024
9628,8.93e+17,6,11/6/2017,Host,10,Centro Storico,3,2,Entire home,4,120.0,6,4.14,4.29,3.86,4.29,4.43,4.86,3.86,0.91,Firenze,Early Winter,1,private,"43.77262109999999, 11.2453008",12/15/2024
105956,6.06e+17,0,6/9/2015,Host,4,CORSICA,1,1,Private room,1,45.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03,Milano,Early Autumn,1,shared,"45.46792, 9.22874",9/15/2024
203259,14209825.0,11,6/28/2013,Superhost,8,V Prenestino/Centocelle,1,1,Private room,2,85.0,64,4.78,4.83,4.94,4.87,4.84,4.76,4.7,0.67,Roma,Early Summer,2,shared,"41.88868, 12.52665",6/15/2024
38475,9.14e+17,5,3/28/2022,Host,44,Centro Storico,2,2,Entire home,4,150.0,6,4.83,4.83,4.67,4.67,5.0,5.0,4.83,0.49,Firenze,Early Autumn,1,private,"43.78016, 11.26307",9/15/2024
117901,14449136.0,57,5/22/2016,Superhost,11,San Ferdinando,1,1,Shared room,1,18.0,248,4.92,4.89,4.83,4.87,4.94,4.9,4.89,2.77,Napoli,Early Winter,2,shared,"40.83785, 14.24651",12/15/2024
7540,6.35e+17,1,9/20/2011,Superhost,48,Centro Storico,3,2,Entire home,4,223.0,5,4.8,5.0,4.8,5.0,5.0,5.0,4.4,0.26,Firenze,Early Winter,2,private,"43.77608, 11.2579",12/15/2024
80250,6350702.0,97,4/2/2014,Host,5,CENTRALE,1,1,Entire home,2,71.0,869,4.55,4.71,4.7,4.8,4.85,4.75,4.59,7.84,Milano,Early Summer,1,private,"45.48766, 9.2094",6/15/2024
275182,2735333.0,59,2/10/2014,Superhost,26,San Marco,3,2,Entire home,4,319.0,284,4.82,4.89,4.9,4.83,4.86,4.95,4.75,2.31,Venezia,Early Autumn,2,private,"45.43499, 12.33273",9/15/2024
142201,31324319.0,11,11/1/2016,Superhost,1,Posillipo,4,2,Entire home,6,309.0,71,4.92,4.96,4.99,4.89,4.93,4.79,4.8,1.08,Napoli,Early Autumn,2,private,"40.82087, 14.21393",9/15/2024
179796,20845059.0,2,6/25/2017,Superhost,3,X Ostia/Acilia,1,1,Private room,1,50.0,4,5.0,5.0,5.0,4.75,4.75,5.0,5.0,0.05,Roma,Early Spring,1,shared,"41.73582, 12.28774",3/15/2024
63223,42154404.0,17,3/9/2018,Superhost,1,SARPI,1,1,Entire home,2,89.0,44,4.98,4.98,4.98,4.95,4.98,4.86,4.86,1.42,Milano,Early Spring,1,private,"45.48192, 9.16846",3/15/2024
40432,1.14e+18,7,4/18/2024,Host,1,Centro Storico,1,1,Entire home,2,117.0,7,4.0,4.0,4.29,4.43,4.57,4.86,3.86,1.43,Firenze,Early Autumn,1,private,"43.7725, 11.24858",9/15/2024
209665,41230467.0,2,10/30/2017,Host,4,I Centro Storico,0,0,Entire home,3,147.0,5,4.8,5.0,4.8,4.8,5.0,5.0,5.0,0.31,Roma,Early Summer,1,private,"41.90754, 12.45832",6/15/2024
126910,8.52e+17,26,3/21/2023,Superhost,1,Montecalvario,3,2,Entire home,4,63.0,26,4.73,4.88,5.0,4.73,4.85,4.88,4.81,2.26,Napoli,Early Spring,1,private,"40.8472353, 14.2446131",3/15/2024
156201,23735205.0,0,12/14/2012,Host,3,XI Arvalia/Portuense,1,1,Private room,2,93.0,7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1,Roma,Early Winter,1,shared,"41.87097, 12.46753",12/15/2024
252586,1.19e+18,6,6/23/2024,Host,1,X Ostia/Acilia,2,1,Entire home,4,114.0,6,4.5,4.67,4.67,4.67,4.67,4.67,4.33,2.43,Roma,Early Autumn,1,private,"41.73286412622329, 12.270635686027704",9/15/2024
65801,17731273.0,10,6/8/2013,Superhost,1,BANDE NERE,1,1,Private room,2,70.0,49,4.96,4.86,4.98,4.96,4.94,4.88,4.85,0.58,Milano,Early Spring,1,shared,"45.46656, 9.14351",3/15/2024
164316,5.7e+17,75,8/30/2015,Host,2,I Centro Storico,2,1,Entire home,4,115.0,115,4.91,4.9,4.9,4.9,4.95,4.96,4.89,5.51,Roma,Early Winter,2,private,"41.888, 12.46999",12/15/2024
188284,5.74e+17,0,3/2/2022,Host,4,XI Arvalia/Portuense,1,1,Private room,2,107.0,2,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0.09,Roma,Early Spring,1,private,"41.869598, 12.466715",3/15/2024
224519,1.12e+18,8,6/13/2016,Superhost,3,I Centro Storico,1,1,Entire home,2,223.0,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.16,Roma,Early Summer,1,private,"41.90523659999999, 12.4718431",6/15/2024
222149,1.04e+18,2,8/9/2011,Host,1,I Centro Storico,5,4,Entire home,6,1130.0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.65,Roma,Early Summer,2,private,"41.8951572, 12.4722969",6/15/2024
246643,9.8e+17,1,6/20/2018,Host,1,I Centro Storico,2,2,Entire home,4,260.0,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.09,Roma,Early Autumn,2,private,"41.90784807693724, 12.45392318161468",9/15/2024
15527,8.82e+17,35,1/21/2019,Host,73,Centro Storico,2,1,Entire home,4,1000.0,35,4.74,4.82,4.56,4.82,4.97,4.73,4.59,3.54,Firenze,Early Spring,1,private,"43.7801498, 11.2399363",3/15/2024
61050,1.03e+18,1,7/10/2019,Host,1,NIGUARDA - CA' GRANDA,1,1,Private room,2,70.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,Milano,Early Winter,1,shared,"45.5198277, 9.1888428",12/15/2024
182251,31045501.0,5,3/5/2015,Host,3,VIII Appia Antica,1,1,Entire home,3,88.0,33,4.85,4.88,4.91,4.94,4.97,4.67,4.79,0.52,Roma,Early Spring,1,private,"41.86783, 12.49276",3/15/2024
46786,28982359.0,11,1/15/2017,Host,1,BUENOS AIRES - VENEZIA,1,1,Private room,2,40.0,17,4.76,4.88,4.88,4.88,5.0,5.0,4.65,0.66,Milano,Early Winter,2,private,"45.47706, 9.20457",12/15/2024
151910,8452860.0,0,9/18/2015,Host,1,XII Monte Verde,1,1,Entire home,2,110.0,21,4.9,4.9,5.0,4.9,5.0,4.75,4.9,0.21,Roma,Early Winter,1,private,"41.88588, 12.46103",12/15/2024
278737,46003701.0,3,10/22/2020,Host,2,Ca' Emiliani,2,1,Private room,2,55.0,32,3.91,3.91,4.09,3.97,4.06,3.47,3.88,0.84,Venezia,Early Autumn,1,private,"45.45928, 12.21807",9/15/2024
68726,7.24e+17,2,12/7/2014,Host,3,GRATOSOGLIO - TICINELLO,3,1,Entire home,3,89.0,3,4.67,4.67,3.67,5.0,5.0,4.67,4.33,0.18,Milano,Early Spring,1,private,"45.40896, 9.17289",3/15/2024
102369,33244287.0,1,10/17/2014,Host,45,XXII MARZO,1,1,Entire home,2,92.0,3,5.0,5.0,5.0,5.0,5.0,4.67,4.33,0.05,Milano,Early Autumn,1,private,"45.45803, 9.21385",9/15/2024
