,Listings id,Last year reviews,Host since,Host is superhost,Host number of listings,Neighbourhood,Beds number,Bedrooms number,Property type,Maximum allowed guests,Price,Total reviews,Rating score,Accuracy score,Cleanliness score,Checkin score,Communication score,Location score,Value for money score,Reviews per month,City,Season,Bathrooms number,Bathrooms type,Coordinates,Date of scraping
124217,9.32e+17,2,6/8/2022,Host,2,Vomero,2,1,Entire home,3,112.0,2,4.0,4.0,5.0,5.0,4.5,5.0,4.0,0.44,Napoli,Early Winter,1,private,"40.84729818624768, 14.235201267783102",12/15/2024
236826,42581728.0,2,6/5/2016,Host,19,X Ostia/Acilia,2,1,Entire home,3,90.0,8,5.0,5.0,5.0,4.88,5.0,4.75,4.88,0.16,Roma,Early Autumn,1,private,"41.73613, 12.27201",9/15/2024
235584,37003936.0,1,7/17/2019,Host,7,I Centro Storico,1,1,Hotel room,2,1462.0,8,5.0,4.88,5.0,5.0,5.0,5.0,4.88,0.13,Roma,Early Autumn,1,private,"41.90181, 12.4808",9/15/2024
261014,4523238.0,7,10/2/2012,Host,83,Cannaregio,3,2,Entire home,6,277.0,88,4.72,4.8,4.89,4.86,4.64,4.87,4.7,0.89,Venezia,Early Spring,2,private,"45.44287, 12.32385",3/15/2024
216081,7.77e+17,49,12/7/2022,Superhost,1,V Prenestino/Centocelle,4,1,Entire home,7,129.0,70,4.76,4.81,4.77,4.9,4.99,4.61,4.71,3.9,Roma,Early Summer,1,private,"41.8895788, 12.5248031",6/15/2024
171877,9.65e+17,4,4/8/2018,Host,4,VIII Appia Antica,1,1,Private room,2,118.0,4,5.0,5.0,4.5,5.0,5.0,4.75,4.75,1.36,Roma,Early Winter,1,shared,"41.86436, 12.49816",12/15/2024
267284,51139574.0,12,7/19/2021,Superhost,1,Dorsoduro,4,1,Entire home,4,250.0,29,4.93,4.93,4.97,4.9,5.0,5.0,4.83,0.91,Venezia,Early Spring,2,private,"45.43097, 12.32257",3/15/2024
49112,41521096.0,11,9/28/2014,Host,2,DUOMO,2,1,Entire home,2,453.0,49,4.8,4.9,4.69,4.96,4.9,4.88,4.61,1.04,Milano,Early Winter,2,private,"45.46478271484375, 9.176513671875",12/15/2024
177111,10508778.0,9,2/22/2014,Host,4,II Parioli/Nomentano,1,1,Private room,2,120.0,129,4.62,4.77,4.57,4.78,4.81,4.54,4.57,1.3,Roma,Early Spring,1,private,"41.89346, 12.51549",3/15/2024
93866,1e+18,20,10/15/2023,Host,4,SARPI,2,1,Entire home,4,140.0,20,4.5,4.58,4.42,4.63,4.58,4.58,4.47,2.41,Milano,Early Summer,1,private,"45.4789398, 9.1741915",6/15/2024
137623,8.7e+17,0,4/12/2023,Host,1,Stella,3,2,Entire home,4,106.0,2,4.0,4.0,4.5,4.0,4.5,3.5,4.5,0.14,Napoli,Early Summer,1,private,"40.860175894278576, 14.250377006828783",6/15/2024
140492,6040847.0,41,5/20/2017,Superhost,3,San Lorenzo,2,0,Entire home,4,95.0,260,4.91,4.92,4.92,4.93,4.97,4.87,4.89,2.3,Napoli,Early Autumn,0,private,"40.85265, 14.25997",9/15/2024
48969,40799058.0,0,11/27/2019,Host,6,DUOMO,2,1,Entire home,2,277.0,8,4.88,4.88,4.88,4.88,4.75,5.0,4.75,0.23,Milano,Early Winter,1,private,"45.4652, 9.19533",12/15/2024
78339,9.69e+17,16,3/11/2023,Superhost,5,TIBALDI,1,1,Entire home,2,69.0,16,4.75,4.94,4.81,5.0,5.0,4.63,4.88,2.46,Milano,Early Spring,1,private,"45.44069, 9.17988",3/15/2024
49392,43247035.0,0,4/26/2014,Host,158,LORETO,2,1,Entire home,4,65.0,9,3.78,4.0,4.44,4.67,4.22,3.67,3.33,0.23,Milano,Early Winter,1,private,"45.48707, 9.22721",12/15/2024
194749,9.33e+17,2,6/24/2023,Host,1,V Prenestino/Centocelle,1,1,Entire home,2,130.0,2,4.0,4.0,5.0,4.5,4.5,4.0,4.0,0.38,Roma,Early Spring,1,private,"41.87877019307778, 12.540948875248432",3/15/2024
196556,1.01e+18,25,10/4/2023,Host,1,II Parioli/Nomentano,5,3,Entire home,7,197.0,25,5.0,5.0,4.8,4.84,5.0,4.96,4.96,6.15,Roma,Early Spring,1,private,"41.91128383733756, 12.52134595066309",3/15/2024
235981,39055740.0,0,1/17/2016,Host,35,IV Tiburtina,1,1,Private room,2,74.0,39,4.44,4.51,4.51,4.44,4.49,4.46,4.51,0.65,Roma,Early Autumn,1,shared,"41.9152, 12.54564",9/15/2024
20260,53438734.0,73,6/11/2014,Superhost,3,Centro Storico,2,1,Entire home,3,97.0,149,4.88,4.89,4.91,4.79,4.99,4.64,4.79,5.48,Firenze,Early Spring,1,private,"43.78257, 11.2405",3/15/2024
49428,43663518.0,99,6/4/2020,Superhost,3,RIPAMONTI,3,2,Entire home,5,98.0,200,4.94,4.94,4.95,4.95,4.98,4.67,4.87,4.69,Milano,Early Winter,2,private,"45.43257522583008, 9.199201583862305",12/15/2024
240232,6.01e+17,4,10/11/2013,Superhost,3,VII San Giovanni/Cinecittà,2,1,Private room,1,100.0,24,4.96,4.92,4.92,4.92,4.96,4.63,4.67,0.83,Roma,Early Autumn,1,private,"41.8574, 12.56386",9/15/2024
179187,18183753.0,37,11/28/2012,Superhost,2,I Centro Storico,2,1,Entire home,3,185.0,107,4.91,4.94,4.86,4.93,4.96,4.95,4.89,1.28,Roma,Early Spring,2,private,"41.89046, 12.46731",3/15/2024
31602,5585149.0,34,3/8/2015,Host,1,Centro Storico,2,2,Entire home,4,150.0,231,4.58,4.77,4.7,4.83,4.72,4.97,4.7,2.01,Firenze,Early Autumn,2,private,"43.76916, 11.25795",9/15/2024
14831,6.35e+17,27,11/7/2017,Superhost,8,Centro Storico,1,1,Entire home,2,94.0,34,4.62,4.76,4.79,4.88,4.97,4.85,4.59,1.56,Firenze,Early Spring,1,private,"43.76742, 11.26506",3/15/2024
214069,6.4e+17,9,6/2/2022,Superhost,1,XIII Aurelia,0,1,Entire home,4,65.0,34,4.97,4.97,4.94,4.85,4.88,4.74,4.88,1.37,Roma,Early Summer,1,private,"41.90615637629682, 12.421878582391914",6/15/2024
17856,6.83e+17,7,6/9/2021,Host,2,Centro Storico,2,1,Entire home,4,130.0,12,5.0,4.92,4.83,5.0,5.0,4.83,4.83,0.67,Firenze,Early Spring,1,private,"43.7746064, 11.2434325",3/15/2024
53693,6.9e+17,43,4/30/2013,Superhost,1,BUENOS AIRES - VENEZIA,1,1,Entire home,2,109.0,64,4.97,4.95,4.94,4.91,4.95,4.84,4.86,4.11,Milano,Early Winter,1,private,"45.483938558492085, 9.217279164418011",12/15/2024
250686,1.13e+18,13,12/27/2013,Superhost,1,VII San Giovanni/Cinecittà,3,2,Entire home,4,110.0,13,4.92,4.92,4.85,4.85,5.0,4.77,4.85,2.87,Roma,Early Autumn,2,private,"41.86994292982686, 12.51438366731125",9/15/2024
98720,3097498.0,0,4/22/2014,Host,2,CITTA' STUDI,1,1,Entire home,3,45.0,43,4.47,4.69,4.15,4.87,4.89,4.49,4.63,0.35,Milano,Early Autumn,1,private,"45.48554, 9.22578",9/15/2024
163434,53101142.0,0,10/30/2021,Host,4,I Centro Storico,4,2,Entire home,6,98.0,12,4.58,4.67,5.0,4.92,4.75,4.83,4.58,0.5,Roma,Early Winter,1,private,"41.90895, 12.46033",12/15/2024
126110,7.66e+17,9,10/31/2014,Host,101,Chiaia,2,0,Entire home,4,157.0,10,3.8,4.0,4.0,4.6,3.8,3.8,3.4,0.8,Napoli,Early Spring,1,private,"40.8381034959289, 14.2296879899353",3/15/2024
149790,2343740.0,55,2/5/2014,Superhost,1,I Centro Storico,4,2,Entire home,7,250.0,340,4.86,4.91,4.87,4.94,4.93,4.91,4.87,2.94,Roma,Early Winter,3,private,"41.9112, 12.4531",12/15/2024
209099,39219859.0,61,5/30/2016,Superhost,6,I Centro Storico,1,1,Entire home,4,130.0,112,4.88,4.88,4.77,4.96,4.97,4.86,4.77,1.99,Roma,Early Summer,1,private,"41.88969, 12.49976",6/15/2024
229051,8960060.0,11,1/28/2015,Host,10,I Centro Storico,1,1,Hotel room,2,94.0,38,4.34,4.47,4.34,4.42,4.45,4.61,4.13,0.5,Roma,Early Autumn,2,private,"41.88794, 12.46724",9/15/2024
231799,19850172.0,5,2/11/2013,Host,14,I Centro Storico,3,2,Entire home,4,180.0,83,4.94,5.0,5.0,4.96,4.99,4.98,4.93,0.96,Roma,Early Autumn,2,private,"41.89406, 12.47257",9/15/2024
87356,6.25e+17,0,1/31/2022,Host,40,GHISOLFA,2,1,Entire home,4,107.0,5,3.4,4.2,4.0,3.8,4.0,3.4,3.4,0.2,Milano,Early Summer,1,private,"45.491089, 9.165586",6/15/2024
261692,39187748.0,37,4/10/2013,Host,36,San Marco,2,1,Entire home,3,1000.0,65,4.66,4.75,4.85,4.71,4.75,4.91,4.52,1.23,Venezia,Early Spring,1,private,"45.43822, 12.3371",3/15/2024
64647,5.88e+17,50,3/20/2015,Superhost,4,DE ANGELI - MONTE ROSA,1,1,Entire home,2,79.0,110,4.93,4.91,4.96,4.95,4.98,4.94,4.79,4.7,Milano,Early Spring,1,private,"45.468266, 9.151109",3/15/2024
32764,17730308.0,8,11/18/2014,Host,438,Rifredi,3,1,Entire home,4,162.0,59,4.32,4.49,4.64,4.39,4.41,4.34,4.31,0.65,Firenze,Early Autumn,1,private,"43.78684, 11.25774",9/15/2024
147946,1.16e+18,1,8/18/2020,Host,1,Poggioreale,2,1,Entire home,6,64.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.32,Napoli,Early Autumn,1,private,"40.87037, 14.29944",9/15/2024
281833,1.18e+18,8,10/16/2020,Host,5,Piave 1860,2,1,Entire home,3,75.0,8,3.63,4.13,4.25,3.5,4.0,3.88,4.0,6.0,Venezia,Early Autumn,1,private,"45.48944, 12.22753",9/15/2024
262926,31845241.0,1,5/10/2015,Superhost,8,San Marco,3,1,Entire home,3,308.0,1,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.43,Venezia,Early Spring,1,private,"45.435, 12.3368",3/15/2024
32385,13839664.0,26,3/20/2016,Superhost,50,Centro Storico,1,1,Entire home,2,208.0,329,4.63,4.76,4.76,4.76,4.82,4.96,4.63,3.3,Firenze,Early Autumn,1,private,"43.77416, 11.25709",9/15/2024
223140,1.08e+18,10,11/22/2022,Host,14,XIII Aurelia,2,2,Entire home,4,120.0,10,4.6,4.9,4.8,4.9,4.9,4.7,4.7,2.97,Roma,Early Summer,1,private,"41.8958652, 12.4487276",6/15/2024
264299,10117414.0,46,7/21/2015,Superhost,7,San Marco,6,4,Entire home,8,500.0,361,4.9,4.93,4.92,4.96,4.96,4.98,4.86,3.8,Venezia,Early Spring,3,private,"45.432003, 12.33245",3/15/2024
240486,6.29e+17,0,7/27/2020,Host,14,I Centro Storico,1,1,Private room,3,700.0,2,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.07,Roma,Early Autumn,1,private,"41.91399, 12.46138",9/15/2024
6797,53564088.0,88,10/24/2014,Host,4,Centro Storico,1,1,Entire home,4,79.0,175,4.56,4.68,4.81,4.89,4.82,4.77,4.6,7.05,Firenze,Early Winter,1,private,"43.77461624145508, 11.244582176208496",12/15/2024
100677,18006334.0,10,10/26/2014,Superhost,2,TICINESE,3,2,Entire home,5,255.0,15,4.73,4.8,5.0,5.0,5.0,4.87,4.67,0.86,Milano,Early Autumn,2,private,"45.4543012, 9.1841847",9/15/2024
264244,34160725.0,21,6/18/2013,Host,4,Piave 1860,4,1,Entire home,5,96.0,142,4.9,4.93,4.79,4.97,4.92,4.92,4.8,2.39,Venezia,Early Spring,1,private,"45.48422, 12.23049",3/15/2024
167174,7.54e+17,2,11/30/2017,Host,5,VII San Giovanni/Cinecittà,1,1,Private room,1,30.0,2,2.5,3.5,2.5,4.5,3.0,3.0,3.0,0.17,Roma,Early Winter,1,shared,"41.86215, 12.53977",12/15/2024
169214,8.69e+17,12,6/4/2019,Host,1,VII San Giovanni/Cinecittà,1,1,Entire home,2,67.0,12,5.0,5.0,5.0,5.0,5.0,4.83,5.0,3.91,Roma,Early Winter,1,private,"41.87258, 12.52758",12/15/2024
226993,2410561.0,12,2/17/2014,Superhost,3,XII Monte Verde,4,2,Entire home,5,170.0,107,4.93,4.93,4.95,4.95,4.99,4.66,4.87,0.85,Roma,Early Autumn,2,private,"41.88189, 12.45903",9/15/2024
32341,13520117.0,12,1/29/2011,Superhost,6,Centro Storico,3,2,Entire home,6,112.0,103,4.76,4.77,4.87,4.96,4.95,4.8,4.65,1.03,Firenze,Early Autumn,2,private,"43.76551, 11.23984",9/15/2024
176938,9857655.0,0,5/26/2012,Host,3,XI Arvalia/Portuense,2,1,Entire home,5,63.0,27,4.48,4.7,4.89,4.85,4.93,4.37,4.67,0.28,Roma,Early Spring,1,private,"41.86573, 12.46942",3/15/2024
17436,17696161.0,60,8/30/2014,Host,4,Centro Storico,1,1,Private room,1,81.0,374,4.61,4.77,4.59,4.95,4.97,4.91,4.63,4.39,Firenze,Early Spring,1,shared,"43.77882, 11.25698",3/15/2024
83734,36617723.0,17,7/31/2013,Host,26,NAVIGLI,4,1,Entire home,6,114.0,52,4.4,4.42,4.52,4.17,4.4,4.83,4.44,0.86,Milano,Early Summer,1,private,"45.45227, 9.17609",6/15/2024
94094,1.02e+18,6,4/28/2022,Host,1,AFFORI,1,1,Entire home,2,98.0,6,4.83,4.67,4.83,5.0,5.0,4.67,4.5,1.08,Milano,Early Summer,1,private,"45.5105, 9.17404",6/15/2024
185105,43305057.0,30,2/16/2017,Superhost,2,I Centro Storico,2,1,Entire home,3,156.0,73,4.82,4.9,4.75,4.92,4.97,4.95,4.66,1.8,Roma,Early Spring,1,private,"41.89754, 12.46807",3/15/2024
103280,40937501.0,18,3/12/2019,Superhost,39,WASHINGTON,2,1,Entire home,3,126.0,44,4.86,4.84,4.68,4.8,4.86,4.86,4.8,0.77,Milano,Early Autumn,1,private,"45.46417, 9.15122",9/15/2024
266961,5.49e+17,4,4/22/2013,Superhost,57,Dorsoduro,2,1,Entire home,4,322.0,18,4.61,4.72,4.67,4.89,4.83,4.94,4.33,0.75,Venezia,Early Spring,2,private,"45.43372, 12.32503",3/15/2024
5095,36798383.0,0,6/8/2017,Host,6,Centro Storico,2,1,Private room,4,900.0,2,3.5,4.0,4.5,5.0,5.0,5.0,4.5,0.04,Firenze,Early Winter,1,shared,"43.76539, 11.24426",12/15/2024
58017,8.96e+17,19,9/24/2013,Host,329,BUENOS AIRES - VENEZIA,2,1,Entire home,4,200.0,19,4.79,4.95,4.95,4.89,4.42,4.79,4.84,2.88,Milano,Early Winter,1,private,"45.47932, 9.20666",12/15/2024
248718,1.07e+18,42,3/24/2015,Superhost,26,I Centro Storico,3,3,Entire home,6,394.0,42,4.93,4.86,4.98,4.9,5.0,4.95,4.9,5.68,Roma,Early Autumn,2,private,"41.90721974739875, 12.479467280209064",9/15/2024
79982,5702773.0,0,7/25/2013,Host,5,TORTONA,2,2,Entire home,4,150.0,2,5.0,4.5,4.5,4.5,5.0,5.0,5.0,0.09,Milano,Early Summer,2,private,"45.45459, 9.16936",6/15/2024
159055,35036334.0,2,11/9/2014,Host,457,II Parioli/Nomentano,3,2,Entire home,6,800.0,69,4.41,4.52,4.59,4.61,4.57,4.54,4.48,1.26,Roma,Early Winter,1,private,"41.92139, 12.47095",12/15/2024
142823,40672713.0,28,12/8/2019,Host,3,Pendino,1,1,Entire home,2,71.0,92,4.65,4.78,4.78,4.9,4.86,4.46,4.71,1.63,Napoli,Early Autumn,1,private,"40.85056, 14.26662",9/15/2024
231531,18700924.0,32,5/12/2017,Host,16,VII San Giovanni/Cinecittà,1,1,Private room,2,102.0,283,4.67,4.75,4.86,4.83,4.71,4.67,4.65,3.2,Roma,Early Autumn,2,shared,"41.8864, 12.51164",9/15/2024
88967,7.46e+17,9,10/17/2022,Host,1,PARCO LAMBRO - CIMIANO,2,1,Entire home,4,100.0,18,4.67,4.72,4.56,4.89,4.94,4.39,4.44,0.95,Milano,Early Summer,1,private,"45.48803, 9.24778",6/15/2024
254379,8168561.0,28,9/1/2015,Superhost,1,Santa Croce,1,1,Entire home,2,125.0,124,4.78,4.95,4.91,4.91,4.92,4.82,4.69,1.24,Venezia,Early Winter,1,private,"45.44038, 12.3273",12/15/2024
260734,34301675.0,76,4/30/2019,Superhost,1,Santa Croce,3,2,Entire home,4,93.0,173,4.9,4.87,4.91,4.95,4.99,4.96,4.77,2.94,Venezia,Early Spring,1,private,"45.440296, 12.324196",3/15/2024
118652,22860952.0,42,1/21/2018,Superhost,1,San Ferdinando,2,1,Entire home,4,70.0,153,4.53,4.61,4.19,4.68,4.62,4.92,4.61,2.14,Napoli,Early Winter,2,private,"40.83658, 14.24527",12/15/2024
19599,5463575.0,59,2/25/2015,Superhost,2,Centro Storico,2,1,Entire home,4,153.0,391,4.92,4.93,4.94,4.96,4.99,4.96,4.86,3.58,Firenze,Early Spring,1,private,"43.76946258544922, 11.260486602783203",3/15/2024
263394,6.85e+17,28,4/7/2017,Superhost,1,Piave 1860,1,1,Entire home,2,72.0,28,5.0,5.0,5.0,5.0,5.0,4.89,4.93,5.92,Venezia,Early Spring,1,private,"45.48822, 12.22698",3/15/2024
32113,11296169.0,42,2/27/2016,Host,1,Centro Storico,3,2,Entire home,6,190.0,204,4.9,4.92,4.94,4.91,4.88,4.94,4.87,1.98,Firenze,Early Autumn,3,private,"43.76607, 11.25198",9/15/2024
157006,26807026.0,0,6/5/2018,Host,3,I Centro Storico,1,1,Hotel room,2,108.0,3,4.0,3.67,4.67,3.33,3.33,4.33,4.33,0.05,Roma,Early Winter,1,private,"41.90997, 12.49676",12/15/2024
26650,6.57e+17,42,3/24/2022,Superhost,5,Centro Storico,0,3,Entire home,7,362.0,102,4.87,4.89,4.87,4.95,4.98,4.98,4.8,4.25,Firenze,Early Summer,3,private,"43.774017, 11.24758",6/15/2024
259422,7.8e+17,32,12/3/2022,Superhost,6,Dorsoduro,1,1,Private room,2,93.0,32,4.67,4.85,4.79,4.79,4.91,4.64,4.39,2.75,Venezia,Early Winter,1,private,"45.43476, 12.32145",12/15/2024
184005,38335223.0,70,11/26/2013,Superhost,1,I Centro Storico,2,2,Entire home,5,250.0,203,4.98,4.97,4.93,4.98,4.98,4.94,4.93,3.74,Roma,Early Spring,1,private,"41.88873, 12.49586",3/15/2024
33400,23725257.0,2,2/12/2018,Host,2,Centro Storico,3,1,Entire home,4,137.0,23,4.91,4.91,4.87,5.0,4.96,5.0,4.96,0.32,Firenze,Early Autumn,1,private,"43.7757, 11.25876",9/15/2024
168079,8.14e+17,4,3/19/2014,Host,2,I Centro Storico,3,2,Entire home,5,199.0,4,4.5,4.75,4.75,4.5,5.0,5.0,4.5,0.4,Roma,Early Winter,2,private,"41.909087440668536, 12.456522990707407",12/15/2024
186224,49807366.0,71,3/24/2015,Superhost,22,I Centro Storico,1,1,Entire home,2,358.0,213,4.94,4.94,4.87,4.91,4.93,4.98,4.9,6.25,Roma,Early Spring,2,private,"41.90061, 12.48195",3/15/2024
188098,5.55e+17,67,2/5/2022,Superhost,2,I Centro Storico,1,1,Private room,2,101.0,155,4.72,4.88,4.82,4.74,4.83,4.78,4.66,6.25,Roma,Early Spring,1,private,"41.905624, 12.495456",3/15/2024
117852,13776141.0,2,6/30/2016,Host,4,Pendino,2,1,Entire home,4,88.0,12,4.5,4.67,4.75,4.83,4.83,4.33,4.58,0.13,Napoli,Early Winter,1,private,"40.84634, 14.26429",12/15/2024
155824,22219250.0,9,12/12/2017,Host,27,XIII Aurelia,3,2,Entire home,6,69.0,53,4.58,4.7,4.47,4.74,4.7,4.91,4.58,0.76,Roma,Early Winter,2,private,"41.89842, 12.45615",12/15/2024
153663,14668104.0,33,1/15/2016,Host,6,II Parioli/Nomentano,1,1,Private room,2,65.0,45,4.16,4.27,4.09,4.58,4.6,4.58,3.96,2.25,Roma,Early Winter,1,private,"41.91014, 12.52814",12/15/2024
164338,5.72e+17,34,2/27/2022,Host,1,IV Tiburtina,1,1,Private room,2,30.0,61,4.74,4.74,4.74,4.77,4.71,4.6,4.66,3.07,Roma,Early Winter,1,shared,"41.908947, 12.53718",12/15/2024
191833,8.13e+17,46,8/24/2016,Host,4,V Prenestino/Centocelle,4,1,Entire home,4,66.0,49,4.59,4.73,4.73,4.73,4.84,4.1,4.47,3.82,Roma,Early Spring,1,private,"41.87419550000001, 12.5423191",3/15/2024
277705,31636011.0,50,1/17/2019,Superhost,3,Cannaregio,2,2,Entire home,4,191.0,298,4.8,4.82,4.76,4.9,4.81,4.93,4.68,4.38,Venezia,Early Autumn,1,private,"45.44146, 12.33478",9/15/2024
89099,7.58e+17,3,4/3/2017,Host,2,DUOMO,2,1,Entire home,4,253.0,6,4.83,4.83,4.83,4.83,5.0,5.0,4.83,0.33,Milano,Early Summer,1,private,"45.46275, 9.19049",6/15/2024
80873,12036730.0,0,7/28/2015,Host,1,BANDE NERE,2,1,Entire home,4,63.0,15,4.87,4.93,4.67,4.93,5.0,4.93,5.0,0.15,Milano,Early Summer,1,private,"45.46588, 9.14083",6/15/2024
274494,1.1e+18,2,9/13/2022,Host,29,Marghera Catene,2,1,Private room,3,58.0,2,2.5,3.5,3.0,3.5,4.0,3.0,2.5,0.94,Venezia,Early Summer,1,shared,"45.47946417748584, 12.209849679417845",6/15/2024
109906,8.75e+17,21,4/20/2023,Superhost,1,UMBRIA - MOLISE,1,1,Private room,1,60.0,32,4.88,4.81,4.84,4.88,4.94,4.69,4.69,1.98,Milano,Early Autumn,1,private,"45.45725855094134, 9.22267551134536",9/15/2024
56765,8.55e+17,4,9/8/2022,Superhost,3,MAGENTA - S. VITTORE,2,1,Entire home,4,115.0,4,4.75,5.0,4.75,4.75,5.0,4.75,4.75,0.47,Milano,Early Winter,1,private,"45.45778139999999, 9.1760293",12/15/2024
155705,21747689.0,17,4/3/2013,Host,1,XIII Aurelia,2,1,Entire home,3,120.0,78,4.82,4.95,4.78,4.94,4.96,4.79,4.68,1.07,Roma,Early Winter,1,private,"41.90013, 12.43622",12/15/2024
181951,29954235.0,53,6/10/2018,Superhost,3,I Centro Storico,3,2,Entire home,5,181.0,302,4.8,4.84,4.82,4.94,4.95,4.79,4.74,4.65,Roma,Early Spring,1,private,"41.90473, 12.49982",3/15/2024
153384,13296470.0,5,5/31/2016,Superhost,1,I Centro Storico,2,1,Entire home,5,108.0,156,4.81,4.92,4.96,4.95,4.93,4.66,4.82,1.76,Roma,Early Winter,1,private,"41.89454, 12.50568",12/15/2024
113225,1.07e+18,2,7/13/2020,Host,1,LORETO,2,1,Entire home,4,93.0,2,4.0,4.0,4.0,4.0,5.0,5.0,3.5,0.36,Milano,Early Autumn,1,private,"45.49329, 9.21593",9/15/2024
46365,25515018.0,0,1/22/2015,Host,3,BRUZZANO,1,1,Private room,2,65.0,55,4.67,4.91,4.53,4.89,4.87,4.56,4.64,0.83,Milano,Early Winter,1,shared,"45.52801, 9.17036",12/15/2024
199040,1015669.0,0,7/5/2011,Host,6,I Centro Storico,2,1,Private room,2,159.0,5,4.8,4.8,5.0,4.8,4.8,5.0,5.0,0.04,Roma,Early Summer,1,private,"41.89137, 12.49253",6/15/2024
139041,1.03e+18,9,2/2/2022,Superhost,2,San Lorenzo,3,2,Entire home,5,71.0,9,5.0,5.0,4.89,5.0,5.0,4.89,5.0,1.41,Napoli,Early Summer,1,private,"40.85412128510705, 14.261648382938573",6/15/2024
20158,9.44e+17,10,7/26/2023,Superhost,10,Centro Storico,6,5,Entire home,9,1468.0,10,5.0,5.0,5.0,4.89,5.0,5.0,4.89,1.57,Firenze,Early Spring,6,private,"43.7700103, 11.2551796",3/15/2024
217736,8.72e+17,16,3/26/2016,Host,1,V Prenestino/Centocelle,2,0,Entire home,2,89.0,21,4.76,4.86,4.71,4.81,5.0,4.43,4.76,1.52,Roma,Early Summer,1,private,"41.8871883, 12.568894",6/15/2024
45333,21106324.0,53,9/26/2014,Superhost,6,CENTRALE,3,2,Entire home,5,103.0,311,4.96,4.98,4.95,4.98,4.99,4.88,4.87,4.12,Milano,Early Winter,1,private,"45.48289, 9.20613",12/15/2024
252935,1.2e+18,3,7/11/2024,Host,1,XIII Aurelia,2,1,Entire home,4,99.0,3,4.67,5.0,5.0,5.0,5.0,4.0,5.0,3.0,Roma,Early Autumn,1,private,"41.894004312681645, 12.437009622755376",9/15/2024
34691,38976907.0,23,8/2/2016,Superhost,1,Centro Storico,1,1,Entire home,4,109.0,90,4.98,4.96,4.94,4.93,4.97,4.78,4.89,1.49,Firenze,Early Autumn,1,private,"43.78358, 11.23826",9/15/2024
149929,2894514.0,0,1/29/2012,Host,3,IV Tiburtina,1,1,Private room,1,28.0,48,4.75,4.81,4.91,4.74,5.0,4.34,4.72,0.42,Roma,Early Winter,1,private,"41.92978, 12.56839",12/15/2024
36750,6.7e+17,31,5/21/2010,Superhost,15,Isolotto Legnaia,6,4,Entire home,8,650.0,59,4.98,4.98,5.0,4.98,4.95,4.92,4.95,2.32,Firenze,Early Autumn,5,private,"43.7687689, 11.2386495",9/15/2024
233256,25576927.0,3,3/25/2013,Superhost,4,XII Monte Verde,1,1,Private room,2,111.0,52,4.75,4.92,4.96,4.83,4.75,4.62,4.69,0.69,Roma,Early Autumn,1,private,"41.87422, 12.4694",9/15/2024
39843,1.08e+18,2,3/6/2012,Host,2,Gavinana Galluzzo,0,1,Entire home,2,75.0,2,5.0,5.0,5.0,5.0,5.0,4.5,5.0,2.0,Firenze,Early Autumn,1,private,"43.7555578, 11.2960045",9/15/2024
108411,8.16e+17,0,7/21/2014,Host,474,DUOMO,3,2,Entire home,4,507.0,10,4.5,4.6,4.9,4.2,4.4,5.0,4.5,0.51,Milano,Early Autumn,2,private,"45.46234974108748, 9.177656652888778",9/15/2024
266151,6.33e+17,0,5/19/2017,Superhost,2,Santa Croce,2,1,Entire home,2,133.0,25,4.96,4.84,4.96,4.92,4.88,4.92,4.88,1.16,Venezia,Early Spring,1,private,"45.43967, 12.3303",3/15/2024
247622,1.02e+18,15,11/13/2023,Host,3,I Centro Storico,1,1,Entire home,2,125.0,15,4.6,4.53,4.87,4.87,4.93,4.33,4.47,1.74,Roma,Early Autumn,1,private,"41.8929499, 12.5015698",9/15/2024
20825,1326240.0,18,6/30/2013,Host,8,Centro Storico,2,1,Private room,2,76.0,396,4.53,4.72,4.77,4.71,4.79,4.23,4.52,2.97,Firenze,Early Summer,2,shared,"43.784889, 11.231991",6/15/2024
60812,1.02e+18,1,6/4/2014,Host,382,EX OM - MORIVIONE,3,2,Entire home,3,57.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,Milano,Early Winter,1,private,"45.4375755, 9.1970921",12/15/2024
125125,39933317.0,1,11/13/2014,Host,7,San Lorenzo,1,1,Private room,1,57.0,15,4.07,4.33,4.27,4.8,4.4,4.27,4.0,0.35,Napoli,Early Spring,1,private,"40.85558, 14.27072",3/15/2024
70046,1.01e+18,1,3/7/2022,Superhost,8,BAGGIO,2,1,Entire home,4,925.0,1,5.0,5.0,5.0,5.0,5.0,4.0,4.0,0.35,Milano,Early Spring,1,private,"45.4625405, 9.0877347",3/15/2024
49970,47215801.0,5,8/12/2016,Host,41,TICINESE,1,1,Entire home,4,73.0,6,4.0,4.5,4.33,4.33,3.67,4.67,4.0,0.46,Milano,Early Winter,1,private,"45.4513078, 9.1801892",12/15/2024
123503,8.77e+17,7,4/24/2023,Host,1,Soccavo,5,3,Private room,5,73.0,7,4.86,4.57,5.0,4.86,5.0,4.43,4.71,0.91,Napoli,Early Winter,1,private,"40.84116686473293, 14.198690557672132",12/15/2024
